,Squad,90s,Goals,Goals_A,GK,GK_A,CrdY,CrdY_A,G90s,G90s_A,GK90s,GK90s_A,CrdY90s,CrdY90s_A,League
95,Arsenal,17.0,33,16,112,55,39.0,49.0,1.9,0.9,6.6,3.2,2.3,2.9,Premier League
96,Aston Villa,18.0,25,29,114,75,42.0,52.0,1.4,1.6,6.3,4.2,2.3,2.9,Premier League
97,Bournemouth,18.0,27,21,116,97,43.0,52.0,1.5,1.2,6.4,5.4,2.4,2.9,Premier League
98,Brentford,17.0,32,31,80,124,28.0,40.0,1.9,1.8,4.7,7.3,1.6,2.4,Premier League
99,Brighton,17.0,26,25,90,89,37.0,46.0,1.5,1.5,5.3,5.2,2.2,2.7,Premier League
100,Chelsea,18.0,38,21,109,65,54.0,55.0,2.1,1.2,6.1,3.6,3.0,3.1,Premier League
101,Crystal Palace,18.0,17,24,87,109,43.0,38.0,0.9,1.3,4.8,6.1,2.4,2.1,Premier League
102,Everton,17.0,13,22,69,99,34.0,16.0,0.8,1.3,4.1,5.8,2.0,0.9,Premier League
103,Fulham,18.0,25,22,99,89,45.0,32.0,1.4,1.2,5.5,4.9,2.5,1.8,Premier League
104,Ipswich Town,17.0,15,32,80,110,46.0,27.0,0.9,1.9,4.7,6.5,2.7,1.6,Premier League
105,Leicester City,18.0,22,38,61,126,45.0,41.0,1.2,2.1,3.4,7.0,2.5,2.3,Premier League
106,Liverpool,17.0,40,17,111,73,39.0,48.0,2.4,1.0,6.5,4.3,2.3,2.8,Premier League
107,Manchester City,18.0,30,25,151,56,39.0,47.0,1.7,1.4,8.4,3.1,2.2,2.6,Premier League
108,Manchester Utd,18.0,20,24,90,82,44.0,35.0,1.1,1.3,5.0,4.6,2.4,1.9,Premier League
109,Newcastle Utd,18.0,29,20,104,99,38.0,54.0,1.6,1.1,5.8,5.5,2.1,3.0,Premier League
110,Nott'ham Forest,18.0,24,19,83,115,46.0,56.0,1.3,1.1,4.6,6.4,2.6,3.1,Premier League
111,Southampton,18.0,11,37,78,127,53.0,37.0,0.6,2.1,4.3,7.1,2.9,2.1,Premier League
112,Tottenham,18.0,37,26,145,96,40.0,44.0,2.1,1.4,8.1,5.3,2.2,2.4,Premier League
113,West Ham,18.0,22,29,95,110,46.0,28.0,1.2,1.6,5.3,6.1,2.6,1.6,Premier League
114,Wolves,18.0,29,37,55,133,44.0,48.0,1.6,2.1,3.1,7.4,2.4,2.7,Premier League
115,Alavés,18.0,21,29,81,89,48.0,48.0,1.2,1.6,4.5,4.9,2.7,2.7,La Liga
116,Athletic Club,19.0,29,16,92,77,39.0,47.0,1.5,0.8,4.8,4.1,2.1,2.5,La Liga
117,Atlético Madrid,18.0,33,10,90,67,39.0,28.0,1.8,0.6,5.0,3.7,2.2,1.6,La Liga
118,Barcelona,19.0,51,22,115,90,33.0,52.0,2.7,1.2,6.1,4.7,1.7,2.7,La Liga
119,Betis,18.0,19,21,86,73,36.0,49.0,1.1,1.2,4.8,4.1,2.0,2.7,La Liga
120,Celta Vigo,18.0,26,26,62,73,43.0,50.0,1.4,1.4,3.4,4.1,2.4,2.8,La Liga
121,Espanyol,18.0,15,30,73,95,49.0,35.0,0.8,1.7,4.1,5.3,2.7,1.9,La Liga
122,Getafe,18.0,11,15,73,59,51.0,57.0,0.6,0.8,4.1,3.3,2.8,3.2,La Liga
123,Girona,18.0,25,25,91,56,43.0,44.0,1.4,1.4,5.1,3.1,2.4,2.4,La Liga
124,Las Palmas,18.0,21,25,72,92,52.0,42.0,1.2,1.4,4.0,5.1,2.9,2.3,La Liga
125,Leganés,18.0,17,26,50,106,39.0,31.0,0.9,1.4,2.8,5.9,2.2,1.7,La Liga
126,Mallorca,19.0,18,21,77,100,43.0,38.0,0.9,1.1,4.1,5.3,2.3,2.0,La Liga
127,Osasuna,18.0,21,26,76,102,42.0,39.0,1.2,1.4,4.2,5.7,2.3,2.2,La Liga
128,Rayo Vallecano,18.0,18,20,95,98,47.0,35.0,1.0,1.1,5.3,5.4,2.6,1.9,La Liga
129,Real Madrid,18.0,41,17,97,80,28.0,42.0,2.3,0.9,5.4,4.4,1.6,2.3,La Liga
130,Real Sociedad,18.0,15,13,110,87,42.0,41.0,0.8,0.7,6.1,4.8,2.3,2.3,La Liga
131,Sevilla,18.0,17,26,94,80,50.0,41.0,0.9,1.4,5.2,4.4,2.8,2.3,La Liga
132,Valencia,17.0,16,25,100,73,40.0,43.0,0.9,1.5,5.9,4.3,2.4,2.5,La Liga
133,Valladolid,18.0,12,36,64,106,53.0,53.0,0.7,2.0,3.6,5.9,2.9,2.9,La Liga
134,Villarreal,18.0,32,29,83,78,55.0,57.0,1.8,1.6,4.6,4.3,3.1,3.2,La Liga
135,Angers,15.0,14,26,56,74,19.0,40.0,0.9,1.7,3.7,4.9,1.3,2.7,Ligue 1
136,Auxerre,15.0,23,22,55,90,33.0,20.0,1.5,1.5,3.7,6.0,2.2,1.3,Ligue 1
137,Brest,15.0,24,26,54,58,29.0,33.0,1.6,1.7,3.6,3.9,1.9,2.2,Ligue 1
138,Le Havre,15.0,9,29,56,88,28.0,32.0,0.6,1.9,3.7,5.9,1.9,2.1,Ligue 1
139,Lens,15.0,17,14,82,56,37.0,28.0,1.1,0.9,5.5,3.7,2.5,1.9,Ligue 1
140,Lille,15.0,25,15,63,60,40.0,29.0,1.7,1.0,4.2,4.0,2.7,1.9,Ligue 1
141,Lyon,15.0,25,20,88,68,27.0,32.0,1.7,1.3,5.9,4.5,1.8,2.1,Ligue 1
142,Marseille,15.0,31,17,51,61,30.0,29.0,2.1,1.1,3.4,4.1,2.0,1.9,Ligue 1
143,Monaco,16.0,26,16,70,66,33.0,36.0,1.6,1.0,4.4,4.1,2.1,2.2,Ligue 1
144,Montpellier,15.0,15,37,84,66,45.0,38.0,1.0,2.5,5.6,4.4,3.0,2.5,Ligue 1
145,Nantes,15.0,17,22,74,86,30.0,20.0,1.1,1.5,4.9,5.7,2.0,1.3,Ligue 1
146,Nice,15.0,26,18,69,87,29.0,31.0,1.7,1.2,4.6,5.8,1.9,2.1,Ligue 1
147,Paris S-G,16.0,42,14,120,51,19.0,35.0,2.6,0.9,7.5,3.2,1.2,2.2,Ligue 1
148,Reims,15.0,20,18,61,67,33.0,24.0,1.3,1.2,4.1,4.5,2.2,1.6,Ligue 1
149,Rennes,15.0,20,18,85,47,30.0,30.0,1.3,1.2,5.7,3.1,2.0,2.0,Ligue 1
150,Saint-Étienne,15.0,12,33,43,85,33.0,24.0,0.8,2.2,2.9,5.7,2.2,1.6,Ligue 1
151,Strasbourg,15.0,24,26,59,72,31.0,35.0,1.6,1.7,3.9,4.8,2.1,2.3,Ligue 1
152,Toulouse,15.0,16,15,70,58,24.0,34.0,1.1,1.0,4.7,3.9,1.6,2.3,Ligue 1
153,Augsburg,15.0,17,32,78,77,41.0,28.0,1.1,2.1,5.2,5.1,2.7,1.9,Fußball-Bundesliga
154,Bayern Munich,15.0,45,13,99,29,23.0,22.0,3.0,0.9,6.6,1.9,1.5,1.5,Fußball-Bundesliga
155,Bochum,15.0,13,35,58,86,27.0,25.0,0.9,2.3,3.9,5.7,1.8,1.7,Fußball-Bundesliga
156,Dortmund,15.0,28,22,75,63,39.0,33.0,1.9,1.5,5.0,4.2,2.6,2.2,Fußball-Bundesliga
157,Eint Frankfurt,15.0,35,22,83,78,26.0,24.0,2.3,1.5,5.5,5.2,1.7,1.6,Fußball-Bundesliga
158,Freiburg,15.0,21,24,62,67,21.0,22.0,1.4,1.6,4.1,4.5,1.4,1.5,Fußball-Bundesliga
159,Gladbach,15.0,24,19,72,69,25.0,23.0,1.6,1.3,4.8,4.6,1.7,1.5,Fußball-Bundesliga
160,Heidenheim,15.0,18,33,58,85,34.0,38.0,1.2,2.2,3.9,5.7,2.3,2.5,Fußball-Bundesliga
161,Hoffenheim,15.0,20,27,78,80,31.0,25.0,1.3,1.8,5.2,5.3,2.1,1.7,Fußball-Bundesliga
162,Holstein Kiel,15.0,19,37,58,96,36.0,41.0,1.3,2.5,3.9,6.4,2.4,2.7,Fußball-Bundesliga
163,Leverkusen,15.0,36,20,109,44,25.0,30.0,2.4,1.3,7.3,2.9,1.7,2.0,Fußball-Bundesliga
164,Mainz 05,15.0,26,20,73,88,35.0,32.0,1.7,1.3,4.9,5.9,2.3,2.1,Fußball-Bundesliga
165,RB Leipzig,15.0,23,20,60,81,28.0,38.0,1.5,1.3,4.0,5.4,1.9,2.5,Fußball-Bundesliga
166,St. Pauli,15.0,12,19,54,81,24.0,36.0,0.8,1.3,3.6,5.4,1.6,2.4,Fußball-Bundesliga
167,Stuttgart,15.0,29,25,82,80,31.0,45.0,1.9,1.7,5.5,5.3,2.1,3.0,Fußball-Bundesliga
168,Union Berlin,15.0,14,19,74,70,43.0,27.0,0.9,1.3,4.9,4.7,2.9,1.8,Fußball-Bundesliga
169,Werder Bremen,15.0,26,23,76,79,26.0,33.0,1.7,1.5,5.1,5.3,1.7,2.2,Fußball-Bundesliga
170,Wolfsburg,15.0,31,27,75,71,42.0,35.0,2.1,1.8,5.0,4.7,2.8,2.3,Fußball-Bundesliga
171,Atalanta,17.0,41,17,85,43,32.0,25.0,2.4,1.0,5.0,2.5,1.9,1.5,Serie A
172,Bologna,16.0,23,17,67,60,27.0,35.0,1.4,1.1,4.2,3.8,1.7,2.2,Serie A
173,Cagliari,17.0,15,28,101,80,37.0,38.0,0.9,1.6,5.9,4.7,2.2,2.2,Serie A
174,Como,17.0,15,30,82,71,37.0,35.0,0.9,1.8,4.8,4.2,2.2,2.1,Serie A
175,Empoli,17.0,15,19,72,103,34.0,25.0,0.9,1.1,4.2,6.1,2.0,1.5,Serie A
176,Fiorentina,16.0,28,13,79,52,33.0,42.0,1.8,0.8,4.9,3.2,2.1,2.6,Serie A
177,Genoa,17.0,13,26,67,87,39.0,32.0,0.8,1.5,3.9,5.1,2.3,1.9,Serie A
178,Hellas Verona,17.0,20,40,66,92,46.0,20.0,1.2,2.4,3.9,5.4,2.7,1.2,Serie A
179,Inter,16.0,41,14,102,45,26.0,22.0,2.6,0.9,6.4,2.8,1.6,1.4,Serie A
180,Juventus,17.0,26,13,89,73,34.0,34.0,1.5,0.8,5.2,4.3,2.0,2.0,Serie A
181,Lazio,17.0,31,23,95,70,43.0,55.0,1.8,1.4,5.6,4.1,2.5,3.2,Serie A
182,Lecce,17.0,11,28,61,115,30.0,38.0,0.6,1.6,3.6,6.8,1.8,2.2,Serie A
183,Milan,16.0,25,15,91,57,24.0,33.0,1.6,0.9,5.7,3.6,1.5,2.1,Serie A
184,Monza,17.0,14,23,65,87,42.0,28.0,0.8,1.4,3.8,5.1,2.5,1.6,Serie A
185,Napoli,17.0,25,12,96,65,21.0,36.0,1.5,0.7,5.6,3.8,1.2,2.1,Serie A
186,Parma,17.0,22,32,81,113,30.0,40.0,1.3,1.9,4.8,6.6,1.8,2.4,Serie A
187,Roma,17.0,23,22,67,65,31.0,41.0,1.4,1.3,3.9,3.8,1.8,2.4,Serie A
188,Torino,17.0,16,21,66,94,39.0,35.0,0.9,1.2,3.9,5.5,2.3,2.1,Serie A
189,Udinese,17.0,21,22,79,93,43.0,28.0,1.2,1.3,4.6,5.5,2.5,1.6,Serie A
190,Venezia,17.0,17,27,56,102,29.0,35.0,1.0,1.6,3.3,6.0,1.7,2.1,Serie A
